model,model_name,language,accuracy,precision_weighted,recall_weighted,f1_weighted
tfidf_char_svm,TF-IDF char SVM,ary,0.6073211314475874,0.6084344848362999,0.6073211314475874,0.6061188150771575
tfidf_char_svm,TF-IDF char SVM,hau,0.7266009852216748,0.7268009582211687,0.7266009852216748,0.726624912796468
tfidf_char_svm,TF-IDF char SVM,ibo,0.7577401851260772,0.7568066648265132,0.7577401851260772,0.756270318854984
tfidf_char_svm,TF-IDF char SVM,kin,0.5423255813953488,0.5431951643436884,0.5423255813953488,0.5419467875683219
tfidf_char_svm,TF-IDF char SVM,orm,0.4007936507936508,0.3957696108422501,0.4007936507936508,0.3970326507352574
tfidf_char_svm,TF-IDF char SVM,pcm,0.6732394366197183,0.6555987339984634,0.6732394366197183,0.6596990033755611
tfidf_char_svm,TF-IDF char SVM,por,0.573004542504867,0.5504739235766668,0.573004542504867,0.5557984771479141
tfidf_char_svm,TF-IDF char SVM,swa,0.5057471264367817,0.475719818500867,0.5057471264367817,0.48272793260385716
tfidf_char_svm,TF-IDF char SVM,tir,0.5833333333333334,0.5651217386414754,0.5833333333333334,0.5673443898443898
tfidf_char_svm,TF-IDF char SVM,tso,0.44493392070484583,0.48102513218673015,0.44493392070484583,0.45722071286162835
tfidf_char_svm,TF-IDF char SVM,twi,0.631413612565445,0.6289986047641648,0.631413612565445,0.6301751220753377
tfidf_char_svm,TF-IDF char SVM,yor,0.6973009907755381,0.6935191203945432,0.6973009907755381,0.6947859313658358
cnn_lstm_bpe,CNN-LSTM BPE,amh,0.5614127569847127,0.5714514055493013,0.5614127569847127,0.5448060638398127
cnn_lstm_bpe,CNN-LSTM BPE,arq,0.5795644891122278,0.6220411440750988,0.5795644891122278,0.5892944299374535
cnn_lstm_bpe,CNN-LSTM BPE,ary,0.6239600665557404,0.6229905923688773,0.6239600665557404,0.6057274867372137
cnn_lstm_bpe,CNN-LSTM BPE,hau,0.6621137483206448,0.6741104772849901,0.6621137483206448,0.6542706262349194
cnn_lstm_bpe,CNN-LSTM BPE,ibo,0.6779444621768274,0.7047441752125075,0.6779444621768274,0.6583809071863214
cnn_lstm_bpe,CNN-LSTM BPE,kin,0.4781395348837209,0.4899525250717275,0.4781395348837209,0.4575528193039989
cnn_lstm_bpe,CNN-LSTM BPE,orm,0.38095238095238093,0.4056561600730264,0.38095238095238093,0.36341707690588876
cnn_lstm_bpe,CNN-LSTM BPE,pcm,0.604225352112676,0.5816296894411541,0.604225352112676,0.5859706542584088
cnn_lstm_bpe,CNN-LSTM BPE,por,0.5814406229720961,0.5489858089178845,0.5814406229720961,0.5275309581667255
cnn_lstm_bpe,CNN-LSTM BPE,swa,0.5057471264367817,0.4237886023825363,0.5057471264367817,0.4549971498336694
cnn_lstm_bpe,CNN-LSTM BPE,tir,0.54375,0.5623407003593848,0.54375,0.5463318703546335
cnn_lstm_bpe,CNN-LSTM BPE,tso,0.33480176211453744,0.5735130660329489,0.33480176211453744,0.3035924654839062
cnn_lstm_bpe,CNN-LSTM BPE,twi,0.5424083769633508,0.5743276584150336,0.5424083769633508,0.554598798147085
cnn_lstm_bpe,CNN-LSTM BPE,yor,0.6371711650153741,0.6460354216840692,0.6371711650153741,0.6028965526026157
